一,0
丁,1
七,2
万,3
丈,4
三,5
上,6
下,7
不,8
与,9
丑,10
且,11
世,12
丘,13
丙,14
业,15
东,16
丝,17
丞,18
两,19
严,20
中,21
丰,22
临,23
丹,24
为,25
主,26
丽,27
举,28
乃,29
久,30
么,31
义,32
之,33
乍,34
乎,35
乐,36
乘,37
乙,38
九,39
也,40
乡,41
书,42
乱,43
了,44
予,45
争,46
事,47
二,48
于,49
云,50
五,51
井,52
亡,53
交,54
亦,55
产,56
享,57
京,58
亭,59
亲,60
人,61
今,62
介,63
仍,64
从,65
他,66
仙,67
代,68
令,69
以,70
仲,71
价,72
任,73
伊,74
伏,75
休,76
众,77
伙,78
会,79
传,80
伪,81
伯,82
似,83
但,84
体,85
何,86
作,87
佣,88
佳,89
使,90
侯,91
侵,92
俊,93
修,94
假,95
健,96
僕,97
儿,98
元,99
兄,100
兆,101
先,102
光,103
克,104
免,105
党,106
入,107
全,108
八,109
公,110
六,111
兰,112
关,113
兴,114
兵,115
其,116
具,117
兹,118
兼,119
内,120
册,121
再,122
冑,123
写,124
农,125
冠,126
冢,127
冬,128
况,129
冷,130
准,131
凌,132
几,133
凡,134
凤,135
出,136
刃,137
分,138
切,139
划,140
列,141
刘,142
则,143
初,144
别,145
到,146
制,147
刻,148
前,149
剑,150
副,151
力,152
功,153
加,154
务,155
动,156
助,157
劳,158
势,159
勉,160
勤,161
勿,162
包,163
化,164
北,165
区,166
医,167
十,168
千,169
升,170
午,171
半,172
华,173
卒,174
单,175
南,176
博,177
占,178
卢,179
卯,180
危,181
即,182
却,183
卷,184
压,185
厌,186
原,187
厥,188
去,189
县,190
参,191
又,192
及,193
友,194
双,195
反,196
发,197
叔,198
取,199
受,200
变,201
古,202
句,203
只,204
可,205
台,206
史,207
右,208
叶,209
号,210
司,211
吁,212
各,213
合,214
吉,215
吊,216
同,217
名,218
后,219
向,220
君,221
吟,222
听,223
启,224
吴,225
吹,226
吾,227
告,228
周,229
命,230
咏,231
咨,232
咸,233
哀,234
哉,235
响,236
哥,237
唐,238
唯,239
商,240
善,241
喜,242
嗓,243
嘉,244
器,245
四,246
回,247
因,248
园,249
固,250
国,251
图,252
圆,253
土,254
圣,255
在,256
地,257
坏,258
坐,259
坡,260
垂,261
城,262
堂,263
堪,264
塞,265
墅,266
墨,267
壁,268
壑,269
士,270
壮,271
声,272
处,273
备,274
夏,275
夕,276
外,277
多,278
夜,279
大,280
天,281
太,282
失,283
头,284
夷,285
夸,286
夹,287
奇,288
奉,289
契,290
奔,291
女,292
奶,293
好,294
如,295
妇,296
妙,297
始,298
姓,299
姜,300
威,301
子,302
孔,303
字,304
存,305
孙,306
孝,307
孤,308
学,309
宁,310
宇,311
守,312
安,313
宋,314
宗,315
官,316
宙,317
定,318
实,319
客,320
宣,321
室,322
宫,323
家,324
容,325
宾,326
宿,327
寂,328
寄,329
密,330
寒,331
寥,332
对,333
寺,334
寻,335
寿,336
封,337
将,338
尉,339
尊,340
小,341
少,342
尔,343
尘,344
尚,345
尝,346
尤,347
就,348
尸,349
尹,350
尽,351
局,352
居,353
展,354
属,355
履,356
山,357
岁,358
岂,359
岱,360
岳,361
岸,362
峰,363
峻,364
崇,365
崑,366
崖,367
嵩,368
巖,369
川,370
州,371
工,372
左,373
巫,374
差,375
己,376
巳,377
巾,378
市,379
布,380
帆,381
师,382
希,383
帘,384
帝,385
带,386
席,387
常,388
幕,389
干,390
平,391
年,392
并,393
幸,394
幽,395
庄,396
庆,397
序,398
应,399
庙,400
府,401
废,402
度,403
座,404
庶,405
康,406
庸,407
廉,408
延,409
建,410
开,411
异,412
弃,413
弈,414
弊,415
式,416
引,417
弗,418
弘,419
弟,420
张,421
弥,422
弯,423
弱,424
归,425
当,426
形,427
彦,428
彩,429
彭,430
影,431
往,432
徒,433
得,434
御,435
復,436
微,437
德,438
心,439
必,440
忍,441
志,442
忘,443
忠,444
忧,445
快,446
念,447
忽,448
怀,449
怜,450
思,451
性,452
总,453
恐,454
恭,455
息,456
恶,457
悠,458
患,459
情,460
惊,461
惜,462
惟,463
惠,464
意,465
感,466
愿,467
慰,468
懿,469
戊,470
戎,471
戏,472
成,473
我,474
戒,475
或,476
战,477
所,478
手,479
才,480
扎,481
扑,482
打,483
执,484
扬,485
承,486
投,487
折,488
抟,489
招,490
拜,491
拥,492
拼,493
持,494
挂,495
指,496
按,497
捧,498
据,499
捻,500
授,501
推,502
掺,503
摄,504
摇,505
支,506
收,507
放,508
政,509
故,510
救,511
教,512
敝,513
敢,514
散,515
敦,516
敬,517
数,518
整,519
文,520
斋,521
斗,522
斛,523
斜,524
斤,525
断,526
斯,527
新,528
方,529
旅,530
无,531
既,532
日,533
旦,534
旧,535
旨,536
早,537
时,538
昌,539
明,540
易,541
昔,542
星,543
映,544
春,545
昨,546
是,547
晋,548
晏,549
晓,550
晚,551
普,552
景,553
曰,554
曲,555
更,556
曹,557
曼,558
曾,559
最,560
月,561
有,562
朋,563
服,564
望,565
朝,566
木,567
未,568
末,569
本,570
朴,571
李,572
村,573
杜,574
条,575
来,576
杰,577
松,578
极,579
林,580
果,581
枝,582
柔,583
柳,584
树,585
栖,586
根,587
格,588
桃,589
桑,590
桥,591
梁,592
梅,593
梦,594
楚,595
楼,596
檐,597
次,598
欲,599
歌,600
正,601
此,602
武,603
歷,604
死,605
殊,606
殿,607
每,608
比,609
毫,610
氏,611
民,612
气,613
水,614
永,615
氾,616
求,617
汉,618
江,619
池,620
污,621
沈,622
沓,623
沖,624
沙,625
河,626
泉,627
法,628
泛,629
波,630
洒,631
洞,632
洼,633
流,634
济,635
浓,636
海,637
涂,638
涌,639
淡,640
深,641
清,642
渊,643
渔,644
游,645
湖,646
湾,647
溪,648
溼,649
满,650
漫,651
火,652
灵,653
点,654
烟,655
热,656
焉,657
然,658
照,659
熟,660
燕,661
爱,662
片,663
物,664
犹,665
独,666
猪,667
献,668
玄,669
率,670
玉,671
王,672
珍,673
班,674
